Feature,Importance
SRS_diff,21.009763717651367
avg_MOV_diff,8.056180000305176
net_rating_diff,7.747326374053955
win_pct_diff,6.285518169403076
assists_per_game_diff,5.966643333435059
ConfAbbrev_team2,5.663467884063721
defensive_rebounds_per_game_diff,5.567306041717529
offensive_rating_diff,5.485456466674805
blocks_per_game_diff,5.18556022644043
offensive_rebounds_per_game_diff,5.12549352645874
field_goal_percentage_diff,5.070415019989014
three_point_field_goals_made_per_game_diff,5.05288553237915
free_throw_percentage_diff,5.00562047958374
three_point_percentage_diff,4.994446277618408
turnovers_per_game_diff,4.774092674255371
rebounds_per_game_diff,4.562483310699463
defensive_rating_diff,4.461284637451172
points_per_game_diff,4.299792289733887
ConfAbbrev_team1,3.753920555114746
