Feature,Importance
SRS_team1,23.07559585571289
total_points_diff_team1,20.47483253479004
SRS_team2,18.082292556762695
avg_MOV_team1,17.355363845825195
net_rating_team1,13.188552856445312
net_rating_team2,12.939034461975098
win_pct_team1,11.28372573852539
total_points_diff_team2,10.896547317504883
avg_MOV_team2,8.947075843811035
blocks_per_game_team1,8.582435607910156
offensive_rebounds_per_game_team1,8.304520606994629
assists_per_game_team1,8.239434242248535
win_pct_team2,8.012849807739258
offensive_rating_team1,7.1309590339660645
ConfAbbrev_team2,7.050751686096191
defensive_rating_team1,6.597068786621094
three_point_percentage_team1,6.3208513259887695
turnovers_per_game_team1,6.303290367126465
rebounds_per_game_team2,5.999739646911621
offensive_rating_team2,5.95833683013916
defensive_rebounds_per_game_team2,5.947994709014893
blocks_per_game_team2,5.875081539154053
free_throw_percentage_team2,5.824473857879639
points_per_game_team1,5.779799461364746
field_goal_percentage_team1,5.738661289215088
steals_per_game_team1,5.568141937255859
three_point_percentage_team2,5.5375823974609375
turnovers_per_game_team2,5.507793426513672
assists_per_game_team2,5.258762836456299
rebounds_per_game_team1,5.247649192810059
field_goal_percentage_team2,4.939121246337891
offensive_rebounds_per_game_team2,4.873441696166992
free_throw_percentage_team1,4.831695556640625
defensive_rating_team2,4.564486026763916
three_point_field_goals_made_per_game_team1,4.431494235992432
three_point_field_goals_made_per_game_team2,4.208634853363037
points_per_game_team2,3.8986055850982666
defensive_rebounds_per_game_team1,3.7117011547088623
ConfAbbrev_team1,2.160405158996582
steals_per_game_team2,1.5584962368011475
